"MS_NR";"LGD_NR";"M_NAME1";"BAUJAHR";"FKTFAEHG";"ANZ_ANALYSEN";"BEGINN";"ENDE";"Chem_ Mon_ operativ";"Chem_ Mon_tiefeGWK";"Chem_ Mon_ueberblick";"EUA_MN_alt_ bis_2015";"EUA_MN_ab_2015";"EUA_TeilMN_LW";"EU_NO3_MN_alt_bis_2015"
"10L62001002";"4432";"AHRENSFELDE F1";"1984";"voll funktionsfähig";15;1984;2015;"ja";;"ja";;;;
"10L62082008";"4451";"HOHENFELDE F2";"1984";"voll funktionsfähig";6;1984;2015;;"ja";;;;;
"10L62082009";"4452";"HOHENFELDE F3";"1984";"voll funktionsfähig";6;1984;2015;;"ja";;;;;
"10L53085001";"4453";"LINAU F1";"1984";"voll funktionsfähig";9;1984;2014;;;"ja";;;;
"10L62021001";"4455";"GRÖNWOHLD F1";"1984";"voll funktionsfähig";6;1984;2015;;"ja";;;;;
"10L62021002";"4456";"GRÖNWOHLD F2";"1984";"voll funktionsfähig";9;1984;2015;;"ja";;;;;
"10L53079001";"4462";"LABENZ F1";"1985";"voll funktionsfähig";22;1985;2014;;;"ja";;;;
"10L53104002";"4475";"ROSEBURG F1";"1985";"voll funktionsfähig";14;1985;2014;"ja";;"ja";;;;
"10L53104003";"4476";"ROSEBURG F2";"1985";"voll funktionsfähig";6;1985;2014;;"ja";;;;;
"10L53104004";"4477";"ROSEBURG F3";"1985";"voll funktionsfähig";6;1985;2014;;"ja";;;;;
"10L62019002";"4481";"GRABAU F2";"1985";"voll funktionsfähig";6;1985;2011;;"ja";;;;;
"10L62019003";"4482";"GRABAU F3";"1985";"voll funktionsfähig";6;1985;2011;;"ja";;;;;
"10L62046004";"4493";"MEDDEWADE F3";"1986";"voll funktionsfähig";5;1986;2011;;"ja";;;;;
"10L62046005";"4494";"MEDDEWADE F4";"1986";"voll funktionsfähig";5;1986;2011;;"ja";;;;;
"10L62009014";"4503";"BARSBÜTTEL RÄHNREDDER F2";"1986";"voll funktionsfähig";7;1986;2015;;"ja";;;;;
"10L62009015";"4504";"BARSBÜTTEL RÄHNREDDER F3";"1986";"voll funktionsfähig";8;1986;2015;;"ja";;;;;
"10L62053003";"4507";"HAVIGHORST F3";"1986";"voll funktionsfähig";7;1986;2015;;"ja";;;;;
"10L53111005";"4510";"SCHNAKENBEK ELBUFER F1";"1986";"voll funktionsfähig";15;1986;2015;"ja";;"ja";;;;
"10L53087005";"4513";"LÜTAU F1";"1986";"voll funktionsfähig";23;1986;2015;"ja";;"ja";;;;
"10L53087007";"4515";"LÜTAU F3";"1986";"voll funktionsfähig";27;1986;2014;;"ja";;;;;
"10L53087008";"4516";"LÜTAU F4";"1986";"voll funktionsfähig";27;1986;2014;;"ja";;;;;
"10L55005005";"4522";"OSTERMARKELSDORF";"1986";"voll funktionsfähig";40;1987;2015;;;;"ja";"ja";"ja";
"10L55036001";"4523";"RIEPSDORF FINKENBUSCH";"1986";"voll funktionsfähig";30;1987;2015;;;"ja";"ja";;;
"10L03003001";"4524";"NIENHÜSEN MOORKATEN F1";"1987";"voll funktionsfähig";8;1987;2014;;;"ja";;;;
"10L62015004";"4531";"EICHEDE F3";"1987";"voll funktionsfähig";5;1987;2011;;"ja";;;;;
"10L53014003";"4536";"BREITENFELDE F2";"1987";"voll funktionsfähig";6;1987;2014;;"ja";;;;;
"10L53014004";"4537";"BREITENFELDE F3";"1987";"voll funktionsfähig";6;1987;2014;;"ja";;;;;
"10L53105018";"4544";"SACHSENWALD VIERTHEGE F1";"1987";"voll funktionsfähig";21;1987;2014;;;"ja";;;;
"10L53105020";"4546";"SACHSENWALD VIERTHEGE F3";"1987";"voll funktionsfähig";27;1987;2015;;"ja";;"ja";;;
"10L62036004";"4586";"TIMMERHORN F1";"1990";"voll funktionsfähig";14;1990;2015;"ja";;"ja";;;;
"10L62071004";"4599";"STAPELFELD MVA";"1991";"voll funktionsfähig";8;1991;2014;;;"ja";;;;
"10L55041009";"4613";"KESDORF F2";"1992";"voll funktionsfähig";25;1992;2015;;;;"ja";;;
"10L53080001";"4616";"LANGENLEHSTENER HEIDE";"1992";"voll funktionsfähig";25;1993;2015;"ja";;"ja";"ja";"ja";;
"10L62076008";"4617";"TANGSTEDTER FORST";"1992";"voll funktionsfähig";34;1993;2015;"ja";;"ja";;;;
"10L53118003";"4620";"SIEBENBÄUMEN SÜD";"1994";"voll funktionsfähig";32;1995;2015;;;;"ja";"ja";"ja";
"10L53057001";"4622";"NEUHORST AM WALL";"1994";"voll funktionsfähig";33;1995;2015;"ja";;"ja";"ja";"ja";"ja";
"10L62086003";"4623";"WITZHAVE JAHRENSBERG";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";"ja";"ja";"ja";"ja"
"10L53029005";"4624";"FITZEN";"1994";"voll funktionsfähig";33;1995;2015;"ja";;"ja";"ja";"ja";"ja";
"10L53047012";"4625";"GÜLZOW SO";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";;;;
"10L53032010";"4631";"GEESTHACHT AN DER POST F1";"1994";"voll funktionsfähig";12;1994;2015;"ja";;"ja";;"ja";;
"10L53062002";"4645";"KITTLITZ SALEMER STR";"1995";"voll funktionsfähig";32;1995;2015;;;;"ja";"ja";"ja";
"10L62006028";"4667";"BARGTEHEIDE SÜDRING";"1996";"gesichert (Packer)";15;1997;2016;"ja";;"ja";;;;
"10L62014010";"4672";"DELINGSDORF TIMMERHORN";"1996";"voll funktionsfähig";12;1997;2015;"ja";;"ja";;;;
"10L62061003";"4701";"REINFELD HECKKATEN F1";"1997";"voll funktionsfähig";6;1997;2014;;;"ja";;;;
"10L62048004";"4707";"LANGNIENDORF F3";"1997";"voll funktionsfähig";3;1997;2011;;"ja";;;;;
"10L62048005";"4708";"LANGNIENDORF F4";"1997";"voll funktionsfähig";3;1997;2011;;"ja";;;;;
"10L62060004";"4712";"REINBEK SILKERFELD F1";"1997";"voll funktionsfähig";13;1998;2015;"ja";;"ja";;;;
"10L62020008";"4775";"GRANDERHEIDE III";"1999";"voll funktionsfähig";17;2005;2015;"ja";;"ja";;;;
"10L53136008";"4777";"ZIETHEN NO F1";"1999";"voll funktionsfähig";13;2001;2015;"ja";;"ja";;;;
"10L53107001";"4787";"SALEM WIETSAAL F1";"1999";"voll funktionsfähig";11;2001;2015;"ja";;"ja";;;;
"10L53001003";"4837";"ALBSFELDER TANNEN F1";"2001";"voll funktionsfähig";8;2001;2014;"ja";;"ja";;;;
"10L62081007";"4841";"TREMSBÜTTEL SATTENFELDER STR F1";"2001";"voll funktionsfähig";7;2002;2014;;;"ja";;;;
"10L03002004";"4873";"LÜBECK MÖNKHOF F1";"2002";"voll funktionsfähig";12;2002;2015;"ja";;"ja";;"ja";;
"10L53043001";"4879";"GR. SARAU KLEMPAUER MOOR F1";"2002";"voll funktionsfähig";10;2002;2013;"ja";;"ja";;;;
"10L53046005";"4905";"GUDOW";"2005";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L53054001";"4906";"HOLLENBEK";"2005";"voll funktionsfähig";7;2005;2015;"ja";;"ja";;;;
"10L53007001";"4922";"BASTHORST";"2006";"voll funktionsfähig";11;2006;2015;"ja";;"ja";;;;
"10-53090000";"4945";"WW MÖLLN AB 27 F1";"1991";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L53001005";"4977";"ALBSFELDER TANNEN MITTE";"2009";"voll funktionsfähig";6;2010;2015;"ja";;"ja";;;;
"10L62076011";"4978";"TANGSTEDT KREUZWEG";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L53029006";"4979";"FITZEN HEIDEBROOK";"2013";"voll funktionsfähig";3;2013;2015;"ja";;"ja";;;;
"10L53115012";"4980";"SCHULENDORF";"2013";"voll funktionsfähig";3;2013;2015;"ja";;"ja";;;;
"10L53043004";"4981";"GR. SARAU KLEMPAUER MOOR F1A";"2014";"voll funktionsfähig";2;2014;2015;"ja";;"ja";;;;
"10L59038001";"5208";"HAVETOFTLOIT F1";"1985";"voll funktionsfähig";35;1986;2013;;;"ja";;;;
"10L59038004";"5211";"HAVETOFTLOIT F4";"1985";"voll funktionsfähig";42;1986;2015;;;;"ja";"ja";"ja";
"10L59092002";"5214";"TREIA NORDERBROK F1";"1985";"voll funktionsfähig";33;1986;2015;"ja";;"ja";;;;
"10L59092003";"5215";"TREIA NORDERBROK F2";"1985";"voll funktionsfähig";25;1986;2015;;"ja";;;;;
"10L59044002";"5218";"JÜBEK";"1986";"voll funktionsfähig";13;1996;2015;"ja";;"ja";;"ja";;
"10L59119002";"5233";"HANDEWITT";"1992";"voll funktionsfähig";25;1993;2015;;;;"ja";"ja";;
"10L59053002";"5234";"KROPP";"1992";"voll funktionsfähig";26;1993;2015;"ja";;"ja";"ja";"ja";;
"10L59174004";"5235";"WANDERUP KIERACKER";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";;;;
"10L59095002";"5239";"GANGERSCHILD F2";"1994";"voll funktionsfähig";33;1995;2015;;;;"ja";"ja";"ja";"ja"
"10L59138002";"5240";"WESTERLANGSTEDT F1";"1994";"voll funktionsfähig";33;1995;2015;"ja";;"ja";"ja";"ja";"ja";
"10L59023003";"5241";"ELLINGSTEDT WUHRENWEG";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";"ja";"ja";"ja";"ja"
"10L59001002";"5242";"ALT BENNEBEK";"1994";"voll funktionsfähig";33;1995;2015;"ja";;"ja";;"ja";"ja";
"10L59127003";"5243";"MARKERUP F1";"1996";"voll funktionsfähig";6;1997;2013;;;"ja";;;;
"10L59080003";"5246";"STEINFELD F1";"1996";"voll funktionsfähig";7;1997;2015;;;"ja";;;;
"10L59077002";"5248";"SCHUBY FALKENBERG F1";"1996";"voll funktionsfähig";13;1997;2015;"ja";;"ja";;;;
"10L59119003";"5251";"ELLUND WILMKJERWEG";"1999";"voll funktionsfähig";23;2000;2015;"ja";;"ja";;"ja";"ja";
"10L51027003";"5254";"ELPERSBÜTTEL";"2001";"voll funktionsfähig";4;2005;2013;;;"ja";;;;
"10L51119004";"5255";"VOLSEMENHUSEN";"2001";"voll funktionsfähig";5;2005;2014;;;"ja";;;;
"10L59024008";"5257";"ERFDE SPORTPLATZ F1";"2000";"voll funktionsfähig";10;2001;2012;"ja";;"ja";;;;
"10L59024011";"5260";"ERFDE KOPPEL F1";"2000";"voll funktionsfähig";6;2001;2015;"ja";;"ja";;;;
"10L54119003";"5333";"SEETH HAUPTSTR";"2001";"voll funktionsfähig";9;2002;2012;"ja";;"ja";;;;
"10L59085020";"5341";"SÜDERSTAPEL NW F1";"2001";"voll funktionsfähig";5;2002;2015;"ja";;"ja";;;;
"10L59098005";"5366";"BREKLINGFELD F1";"2001";"voll funktionsfähig";12;2002;2015;"ja";;"ja";;;;
"10L59085019";"5374";"WESTERKOOG";"1974";"voll funktionsfähig";6;1974;2013;;;"ja";;;;
"10L59035002";"5444";"GR. RHEIDE F1";"2001";"voll funktionsfähig";12;2002;2015;"ja";;"ja";;;;
"10L59035004";"5446";"GR. RHEIDE F3";"2001";"voll funktionsfähig";4;2002;2015;;"ja";;;;;
"10L59035005";"5447";"GR. RHEIDE F4";"2001";"voll funktionsfähig";4;2002;2015;;"ja";;;;;
"10L59144002";"5448";"MEYN F1";"2001";"voll funktionsfähig";13;2001;2015;"ja";;"ja";;;;
"10L54009002";"5452";"AVENTOFT";"2002";"voll funktionsfähig";4;2003;2012;;;"ja";;;;
"10L51075005";"5453";"BLANKENMOOR III";"2002";"voll funktionsfähig";7;2003;2015;;;"ja";;;;
"10L51093001";"5454";"REINSBÜTTEL";"2002";"voll funktionsfähig";5;2003;2013;;;"ja";;;;
"10L51062002";"5455";"KRONPRINZENKOOG";"2002";"voll funktionsfähig";5;2003;2013;;;"ja";;;;
"10L59087004";"5458";"TETENHUSEN F3";"2002";"voll funktionsfähig";4;2003;2015;;"ja";;;;;
"10L59087005";"5459";"TETENHUSEN F4";"2002";"voll funktionsfähig";4;2003;2015;;"ja";;;;;
"10L59171003";"5497";"TARPHOLZ F1";"2003";"voll funktionsfähig";12;2003;2015;"ja";;"ja";;;;
"10L59032001";"5530";"GELTORF F1";"2004";"voll funktionsfähig";6;2005;2010;"ja";;"ja";;;;
"10L59016001";"5534";"GEELBYHOLZ F1";"2004";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L01013001";"5556";"FLENSBURG SÜNDERUP";"1989";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;;;
"10L54014005";"5557";"DÖRPUM";"2005";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;;;
"10L54017001";"5558";"BRADERUP 5558";"2005";"beseitigt";3;2005;2007;"ja";;"ja";;;;
"10L54018003";"5559";"BRAMSTEDTFELD";"2005";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;;;
"10L54042002";"5560";"HATTSTEDTFELD";"2005";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;;;
"10L51087004";"5561";"OSTROHE 5561";"2005";"beseitigt";3;2005;2007;"ja";;"ja";;;;
"10L59177001";"5562";"WEESBYDAMM";"2005";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L01006001";"5563";"FLENSBURG OCHSENWEG";"2005";"voll funktionsfähig";4;2005;2013;;;"ja";;;;
"10L59119007";"5564";"HANDEWITTFELD";"2005";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L59182003";"5565";"JUHLSCHAUFELD";"2005";"voll funktionsfähig";4;2005;2013;;;"ja";;;;
"10L59132002";"5566";"KLEINJÖRLFELD";"2005";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L59097001";"5567";"TWEDT";"2005";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L59174007";"5568";"WANDERUPFELD";"2005";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L54037001";"5569";"GOLDEBEK";"2005";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;"ja";"ja";
"10L59158002";"5570";"SCHAFFLUNDFELD";"2005";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L54144004";"5571";"VIÖLFELD";"2005";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;;;
"10L59137001";"5572";"LANGBALLIG";"2005";"voll funktionsfähig";5;2005;2015;;;"ja";;;;
"10L59138005";"5586";"WESTERLANGSTEDT F3";"2005";"voll funktionsfähig";3;2006;2015;;"ja";;;;;
"10L59138006";"5587";"WESTERLANGSTEDT F4";"2005";"voll funktionsfähig";3;2006;2015;;"ja";;;;;
"10L59164001";"5588";"FLINTHOLM";"2005";"voll funktionsfähig";5;2006;2015;;;"ja";;;;
"10L51061003";"5589";"KREMPEL";"2005";"voll funktionsfähig";4;2006;2013;;;"ja";;;;
"10L54086004";"5594";"NEUKIRCHEN KA";"2006";"voll funktionsfähig";4;2006;2013;;;"ja";;;;
"10-59045113";"5597";"WW KOPPERBY A 5";"2004";"voll funktionsfähig";5;2005;2015;;;"ja";;;;
"10L54165003";"5618";"NEUGALMSBÜLL II";"2007";"voll funktionsfähig";3;2011;2013;;;"ja";;;;
"10L51087005";"5620";"OSTROHE 5620";"2007";"voll funktionsfähig";8;2008;2015;"ja";;"ja";;"ja";"ja";
"10L54017002";"5621";"BRADERUP 5621";"2008";"voll funktionsfähig";9;2008;2015;"ja";;"ja";;;;
"10L54151020";"5628";"WESTERLAND FRIEDRICHSHAIN";"2009";"voll funktionsfähig";7;2009;2015;"ja";;"ja";;;;
"10L54097001";"5630";"OLDERUP";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L54144005";"5631";"VIÖL KRAGELUND";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L59143002";"5632";"MEDELBY NORD";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L59177002";"5633";"WEESBY";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L54013004";"5634";"BORDELUM LANGACKER";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L54001006";"5635";"ACHTRUP SEEWANG";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L59044003";"5636";"JÜBEK ALLMOORWEG";"2013";"voll funktionsfähig";3;2013;2015;"ja";;"ja";;;;
"10L58094002";"6001";"LANGWEDEL ZIEGELEI F2";"1979";"voll funktionsfähig";34;1979;2015;;;;"ja";;;
"10L58009002";"6007";"BÜNZERFELD";"1979";"voll funktionsfähig";4;1997;2011;;"ja";;;;;
"10L57060001";"6019";"PRASDORF";"1980";"voll funktionsfähig";7;1997;2015;;;"ja";;;;
"10-58121001";"6028";"BORGHORSTERHÜTTEN F1";"1978";"voll funktionsfähig";19;1986;2013;;;"ja";;;;
"10L58100002";"6040";"LÜTJENWESTEDT F1";"1980";"voll funktionsfähig";14;1980;2015;"ja";;"ja";;;;
"10L58100003";"6041";"LÜTJENWESTEDT REITMOOR";"1980";"voll funktionsfähig";6;1981;2015;;"ja";;;;;
"10L58101002";"6052";"LUHNSTEDT KATTSHEIDE";"1982";"voll funktionsfähig";6;1982;2015;;"ja";;;;;
"10L58146001";"6053";"HEIDKRUG";"1982";"voll funktionsfähig";6;1982;2015;;"ja";;;;;
"10L58026001";"6054";"SCHNEIDERSHOOP F3";"1982";"voll funktionsfähig";26;1982;2015;;"ja";;;;;
"10L58026003";"6063";"SCHNEIDERSHOOP F1";"1985";"voll funktionsfähig";34;1985;2015;"ja";;"ja";;;;
"10L57002002";"6066";"BARMISSEN F2";"1986";"voll funktionsfähig";25;1986;2011;;"ja";;;;;
"10-58099002";"6073";"LOOSE ALTILEWITT F1";"1987";"voll funktionsfähig";5;2005;2015;;;"ja";;;;
"10L58098001";"6079";"LOOP BONDENHOLZ";"1975";"eingeschränkt funktionsfähig";4;1997;2010;;"ja";;;;;
"10L58030001";"6100";"BREKENDORF";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";;;;
"10L58091002";"6101";"KROGASPE";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";"ja";"ja";"ja";"ja"
