"MS_NR";"LGD_NR";"M_NAME1";"BAUJAHR";"FKTFAEHG";"ANZ_ANALYSEN";"BEGINN";"ENDE";"Chem_ Mon_ operativ";"Chem_ Mon_tiefeGWK";"Chem_ Mon_ueberblick";"EUA_MN_alt_ bis_2015";"EUA_MN_ab_2015";"EUA_TeilMN_LW";"EU_NO3_MN_alt_bis_2015"
"10L57044005";"6691";"BELLIN F4";"2006";"voll funktionsfähig";2;2006;2011;;"ja";;;;;
"10-55043000";"6707";"WW FARVE PB 1B";"1988";"voll funktionsfähig";5;2005;2015;;;"ja";;;;
"10-55014000";"6708";"WW KLÖTZIN PB 14b";"1991";"voll funktionsfähig";5;2005;2015;;;"ja";;;;
"10-04012001";"6709";"NEUMÜNSTER AA4 B2";"1989";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;"ja";;
"10-57039000";"6710";"WW KRUMMBEK P 5";"1991";"voll funktionsfähig";5;2005;2015;;;"ja";;;;
"10-58011001";"6711";"WW BARGSTEDT M3";"1986";"voll funktionsfähig";7;2005;2011;"ja";;"ja";;;;
"10-58077000";"6712";"WW HOHENWESTEDT AB 3/87 F1";"1987";"voll funktionsfähig";6;2005;2010;"ja";;"ja";;;;
"10L57033001";"6713";"KIRCHBARKAU";"2007";"voll funktionsfähig";4;2007;2014;;;"ja";;;;
"10L58011003";"6734";"BARGSTEDT AUKRÖGEN";"2010";"voll funktionsfähig";5;2010;2015;"ja";;"ja";;;;
"10L58122010";"6804";"OSTENFELD GRELLKAMP";"2013";"voll funktionsfähig";3;2013;2015;"ja";;"ja";;;;
"10L58047003";"6805";"ELSDORF WESTERMÜHLEN ESCHWEG";"2013";"voll funktionsfähig";3;2013;2015;"ja";;"ja";;;;
"10L58025001";"6806";"LÜTJENBORNHOLT";"2013";"voll funktionsfähig";3;2013;2015;"ja";;"ja";;;;
"10L58045004";"6807";"EISENDORF SEEWEG";"2013";"voll funktionsfähig";3;2013;2015;"ja";;"ja";;;;
"10L58143001";"6808";"SCHMALSTEDE GROSSMOOR";"2013";"voll funktionsfähig";3;2013;2015;"ja";;"ja";;;;
"10L58054029";"6827";"GARLBEK F1A";"2014";"voll funktionsfähig";2;2014;2015;"ja";;"ja";;;;
"10L58059004";"6828";"GNUTZ WEST II";"2015";"voll funktionsfähig";1;2015;2015;"ja";;"ja";;;;
"10L60064025";"8151";"NÜTZEN SW F1";"1995";"voll funktionsfähig";13;1996;2015;"ja";;"ja";;;;
"10L60058001";"8204";"NAHE REHBROOK F1";"1996";"voll funktionsfähig";12;1996;2015;"ja";;"ja";;;;
"10L60058004";"8207";"NAHE REHBROOK F4";"1996";"voll funktionsfähig";3;1996;2014;;"ja";;;;;
"10L60086013";"8214";"ALT ERFRADE NORD F1";"1996";"voll funktionsfähig";13;1996;2015;"ja";;"ja";"ja";"ja";"ja";
